principal_component_0;principal_component_1;principal_component_2;principal_component_3;principal_component_4;principal_component_5;principal_component_6;principal_component_7;principal_component_8;principal_component_9;principal_component_10;principal_component_11;principal_component_12;principal_component_13;principal_component_14;principal_component_15;principal_component_16;principal_component_17;principal_component_18;principal_component_19;principal_component_20;principal_component_21;principal_component_22;principal_component_23;principal_component_24;principal_component_25;principal_component_26;principal_component_27;principal_component_28;principal_component_29;class
7.398584842019246;4.368509061967121;-6.919127470715593;-0.8022549604657454;6.623789264817685;-2.934365811171833;-8.221053662698715;7.467839716091645;-0.701896124645337;1.1710557342536454;3.6402229527708188;-1.214568966212963;3.0982938002137645;-3.3060088015644307;-3.945419361394254;1.5291001750454545;-0.8230223952533591;1.5388669243179274;-0.2567711989979224;-6.235333892200278;1.2717559680261896;2.397956403858043;-0.14999242492679762;-2.6483445180672813;2.2166507154472366;-5.07198564575879;-1.5150556484374378;-2.422910949908088;-0.9782575417111312;2.9754878023985287;wheaten_terrier
-8.13687550983631;-10.351841882156855;-2.298189320725152;2.751204363608989;0.4660634389736404;-0.9423460224496458;0.7104546171094013;-4.155879314484798;0.9291093098900519;3.016369434708387;0.6659372549560278;1.5932510140084546;2.067384166965278;2.491559577255448;1.7056741885880073;-2.7968008143132455;-3.008740044834809;-3.6244660391408234;1.1084904107384457;5.295280866937661;-1.3128335629448007;3.2998771254602173;1.285432710211315;-0.22001080145649707;-2.595652435083682;0.26204350786818026;-1.8497458203126187;-0.7933806770129165;0.5992399802910486;2.534336692201333;wheaten_terrier
-14.494183076790053;-0.8699758184420702;5.498239912627058;5.698857318435394;-6.579455683352835;-0.3394382488636573;-2.5652367871163917;-6.886490614344861;0.7244296116438229;0.8187404570750528;-1.9562130658816494;1.0034656399892852;7.440716322641084;2.990164326731366;-1.2191426943624288;3.298853890663641;3.815432665322946;8.148238154346304;3.6887170724781444;-3.9770439985960873;1.7802571856709983;-1.4832836430761909;-4.6168982520697;6.637137570457592;-0.1960433036550684;4.607495940824544;4.490409482432582;0.4219760539298322;2.544416401674119;-3.2653795826987584;wheaten_terrier
-5.774605743331425;-0.9044698370305775;-2.9734548579613147;-1.748376852188544;-7.5987831581558645;6.019133108504561;-1.0747019761554568;-1.9692882541750936;-3.4458388218034726;1.4152474485957656;2.8319661588528566;3.9458038158600677;2.0556918063049157;-3.1980005126536786;10.834092116378116;5.540856450906989;7.163297841028779;0.18230540938748796;-3.1322267682184046;0.8392938881647658;0.2104665932977148;2.2117759950350475;1.0985462775187163;-4.9902418108936475;-0.4330348017195599;-2.784807460546877;-3.9876554929063524;-0.8752989502742952;0.4137278326871241;1.5129122626149287;bombay
-12.331815347273874;-3.2095547321528763;6.356044138911026;0.4894969378873551;6.512367040229039;-2.1081041331441503;-3.2525688366849543;1.2865232281699235;-3.7227812180234814;2.1305389595169917;2.0768689391256068;3.579090048522859;0.7573738488385304;-3.437710507544288;2.1740722892248154;2.156138940115381;3.863380896154743;-2.5801261149028285;0.5113238435631248;-3.19723278526707;-0.28891501724941293;5.9149304988172835;-0.7426237674619579;-0.4719633594605054;6.287191554907986;4.604530068485945;-5.640984967735329;2.713150849705399;-2.4696390790079032;3.0525743845387607;samoyed
-4.173260635400177;-6.053701259386842;-1.6065855557645061;-8.975047832437891;-10.502525058405165;3.5908389813391857;-4.476629651547555;0.7533564669567665;4.7174022656416765;-1.7602700966440954;4.10706753350285;4.365402941523683;-3.509684695938559;7.584750973262715;0.15711569737549738;-3.048696171286686;-2.6859138495042196;-3.95181904571189;-2.1078285675618957;-1.1457599643394227;-5.479539986378219;0.2248984541360162;7.327992006857398;-0.6012761014553593;1.6496525651834937;-4.734939118593009;1.6419615155794165;0.9409996937955315;3.967185541341727;5.235887056252196;ragdoll
-1.3001651079059269;-0.45169023538527864;19.639905759287252;0.9218536816406142;2.8923162221420973;4.506451885924487;1.6171046046477746;-2.453209776124957;2.9034382528477054;6.449364830880493;-1.49489519206616;1.5201554139819997;-4.093198213342826;-0.48922765736228047;6.316269265712053;6.089672193735164;-2.9413579313639313;3.0649238077162613;-3.790527681102045;-9.194298588128067;-0.23297313164709865;-3.931706753823427;-1.4120420978014427;-2.4434037135075894;1.724426972379976;1.2095343215892937;2.506094705307621;5.170524123374306;-1.8439541985735322;-1.8186964401379377;samoyed
-6.675450477186673;-6.303299549171688;3.3490173358891666;4.919863271218935;1.922611543820598;-2.7791130595501166;6.1221687584962385;-3.3730799313761284;-3.0173585678219155;1.6246238586434758;3.440028704681934;4.187272819222563;-4.5324637292217504;-2.7194197975689365;7.247596102741376;2.4474428085555084;4.281509734505581;-7.588775718379841;3.4946924486562296;1.7947879658043042;0.20335935571036046;9.453305729725233;0.07445806798980463;-0.8966805970893981;1.1980438433525236;-0.37421686076565436;-4.9866675963345575;-2.079899889686388;-1.3331696595238085;-0.9196358318882261;samoyed
2.3918639823924446;-2.780386866254201;6.4655124824235495;1.0322881342049817;-5.453075026328471;0.48725156756641275;-4.925321389651649;-1.1642486734236752;3.1916371068565286;-0.31475529115465245;1.3292010261830784;-1.6634658374822473;-0.6874709883258706;3.052718703863161;2.9639960149586404;-2.0581841267243792;0.8787398944524585;-1.4551702676067733;-4.236533948159838;0.035620836929791254;1.6253266753754367;2.5078179472709006;3.775169839176411;-1.9382657227445654;-0.47376506869382873;6.832192015176528;-1.4793339480381693;-0.6315382038279206;-1.2192841723429038;-1.6817395383047966;ragdoll
-8.078696473376386;-3.3651087519572647;-4.060983053117886;-5.682626362393968;1.3856030355128002;-1.211819220109968;-1.6537267454702305;-1.184067221841371;-2.6403147418470105;1.6244518460289359;-1.3537512069239646;-4.196041645493842;-7.037049667077662;-5.058746730418336;-0.33495268352247215;0.17140365196400506;4.4774046949950135;1.9859248831717569;10.40305685627299;-3.6231981698008773;-3.130268854258551;2.640221530260337;-3.753393215827214;-1.2354679059231306;0.15342680985051851;-2.4812060653925454;-5.9867086071817885;3.255000849048154;3.6762118845422864;-0.14063809730554896;ragdoll
-6.630972246416926;-5.69233299262648;-4.5088697404593425;5.6382043742293035;1.1957703902195613;-0.3977387434838162;6.9031663727395;-4.991346229388945;6.575985699253496;3.269261925341411;-5.261290465354061;-0.12773440644014;3.6100989868943394;-1.016221066385428;2.775641628538596;-3.913023958671452;-0.9905695159384017;-0.7786141870805829;5.785165690768544;-4.500744411129489;1.961843771683489;4.0989928611083455;-1.1015077036715692;-4.4965196060026384;1.1140769823614927;-1.4805437566468336;3.483073490168861;7.701881090716719;2.098212835523185;0.28474306300531954;samoyed
-3.697190527781052;-6.866932148987385;8.740706380317334;-10.148472344988063;12.506928491479469;-1.6346365555179132;8.064068278650712;-6.207703095759917;-0.8027673380085922;-2.1972478837918277;-13.25998442631564;4.176674091329951;1.0616377107649448;-0.12681161204794042;-6.6925549929294625;-0.7016907341631211;6.349619720061634;5.56977055682018;-6.930597073179251;-0.43694560660939635;7.315584447002437;-0.6098957733257802;0.4531407209120164;1.0461199492035265;-1.1040768910284091;0.8947249081152041;0.005809904513394107;1.0786345426019182;3.4613782101645034;-5.93442303327854;samoyed
